
Arquivo                                                                                                     Linha Termo
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\setup\MINHAS_CONFIGURACOES.ini.exemplo                      13 SU...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\setup\scripts\CONFIGURAR_TUDO.ps1                          207 SU...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\setup\scripts\CONFIGURAR_TUDO.ps1                          219 SU...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\setup\scripts\CONFIGURAR_TUDO.ps1                          251 SU...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\setup\scripts\VERIFICAR_STATUS.ps1                          44 SU...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\setup\scripts\VERIFICAR_STATUS.ps1                          86 SU...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\higienizar_github_rhimob.ps1                               139 ZA...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\LEIA-ME_HIGIENIZACAO_GITHUB.txt                             44 ZA...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\apps_script\09_Supabase_Agenda_Lembretes.gs                349 ZA...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\apps_script\09_Supabase_Agenda_Lembretes.gs                350 ZA...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\apps_script\09_Supabase_Agenda_Lembretes.gs                351 ZA...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\apps_script\09_Supabase_Agenda_Lembretes.gs                352 ZA...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\apps_script\09_Supabase_Agenda_Lembretes.gs                360 ZA...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\apps_script\09_Supabase_Agenda_Lembretes.gs                361 ZA...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\apps_script\09_Supabase_Agenda_Lembretes.gs                362 ZA...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\apps_script\09_Supabase_Agenda_Lembretes.gs                363 ZA...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\apps_script\09_Supabase_Agenda_Lembretes.gs                373 ZA...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\apps_script\11_Supabase_Outbox_Processador_Direto_V22.gs   173 ZA...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\apps_script\11_Supabase_Outbox_Processador_Direto_V22.gs   175 ZA...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\apps_script\11_Supabase_Outbox_Processador_Direto_V22.gs   200 ZA...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\apps_script\11_Supabase_Outbox_Processador_Direto_V22.gs   204 ZA...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\apps_script\11_Supabase_Outbox_Processador_Direto_V22.gs   216 ZA...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\apps_script\11_Supabase_Outbox_Processador_Direto_V22.gs   222 ZA...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\apps_script\11_Supabase_Outbox_Processador_Direto_V22.gs   241 ZA...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\apps_script\11_Supabase_Outbox_Processador_Direto_V22.gs   252 ZA...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\apps_script\11_Supabase_Outbox_Processador_Direto_V22.gs   262 ZA...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\apps_script\11_Supabase_Outbox_Processador_Direto_V22.gs   275 ZA...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\setup\MINHAS_CONFIGURACOES.ini.exemplo                      20 ZA...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\setup\MINHAS_CONFIGURACOES.ini.exemplo                      22 ZA...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\setup\scripts\CONFIGURAR_TUDO.ps1                          224 ZA...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\setup\scripts\CONFIGURAR_TUDO.ps1                          226 ZA...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\setup\scripts\VERIFICAR_STATUS.ps1                         129 ZA...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\setup\scripts\VERIFICAR_STATUS.ps1                         130 ZA...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\higienizar_github_rhimob.ps1                               140 CL...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\LEIA-ME_HIGIENIZACAO_GITHUB.txt                             45 CL...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\apps_script\09_Supabase_Agenda_Lembretes.gs                355 CL...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\apps_script\09_Supabase_Agenda_Lembretes.gs                360 CL...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\apps_script\09_Supabase_Agenda_Lembretes.gs                361 CL...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\apps_script\09_Supabase_Agenda_Lembretes.gs                362 CL...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\apps_script\09_Supabase_Agenda_Lembretes.gs                363 CL...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\apps_script\11_Supabase_Outbox_Processador_Direto_V22.gs   200 CL...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\apps_script\11_Supabase_Outbox_Processador_Direto_V22.gs   208 CL...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\apps_script\11_Supabase_Outbox_Processador_Direto_V22.gs   216 CL...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\apps_script\11_Supabase_Outbox_Processador_Direto_V22.gs   226 CL...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\apps_script\11_Supabase_Outbox_Processador_Direto_V22.gs   241 CL...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\apps_script\11_Supabase_Outbox_Processador_Direto_V22.gs   252 CL...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\apps_script\11_Supabase_Outbox_Processador_Direto_V22.gs   253 CL...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\apps_script\11_Supabase_Outbox_Processador_Direto_V22.gs   263 CL...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\apps_script\11_Supabase_Outbox_Processador_Direto_V22.gs   276 CL...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\setup\MINHAS_CONFIGURACOES.ini.exemplo                      18 CL...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\setup\scripts\CONFIGURAR_TUDO.ps1                          222 CL...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\setup\scripts\VERIFICAR_STATUS.ps1                          49 CL...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\higienizar_github_rhimob.ps1                               141 AP...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\LEIA-ME_HIGIENIZACAO_GITHUB.txt                             46 AP...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\higienizar_github_rhimob.ps1                               136 SE...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\higienizar_github_rhimob.ps1                               142 SE...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\higienizar_github_rhimob.ps1                               160 SE...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\LEIA-ME_HIGIENIZACAO_GITHUB.txt                             47 SE...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\CONFIGURAR_SUPABASE.cmd                                     14 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\CONFIGURAR_SUPABASE.cmd                                     18 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\CONFIGURAR_SUPABASE.cmd                                     19 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\CONFIGURAR_SUPABASE.cmd                                     25 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\corretores.js                                               35 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\corretores.js                                               66 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\corretores.js                                               67 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\corretores.js                                               77 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\corretores.js                                               89 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\corretores.js                                               95 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\higienizar_github_rhimob.ps1                               139 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\higienizar_github_rhimob.ps1                               140 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\higienizar_github_rhimob.ps1                               143 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\higienizar_github_rhimob.ps1                               176 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\LEIA-ME_HIGIENIZACAO_GITHUB.txt                             44 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\LEIA-ME_HIGIENIZACAO_GITHUB.txt                             45 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\LEIA-ME_HIGIENIZACAO_GITHUB.txt                             48 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\LEIA-ME_HIGIENIZACAO_GITHUB.txt                             54 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\LEIA_PRIMEIRO.txt                                           26 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\LEIA_PRIMEIRO.txt                                           27 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\LEIA_PRIMEIRO.txt                                           28 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\novos-talentos.js                                          158 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\package-lock.json                                          238 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\package-lock.json                                          240 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\package-lock.json                                          250 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\VERIFICAR_CONFIGURACAO.cmd                                  13 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\app\globals.css                                             38 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\app\api\crm\debug\route.js                                   8 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\app\crm\page.js                                             56 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\app\crm\page.js                                             89 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\app\crm\page.js                                            142 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\app\crm\page.js                                            150 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\app\crm\page.js                                            154 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\app\crm\page.js                                            156 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\app\crm\page.js                                            157 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\app\crm\page.js                                            169 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\app\crm\page.js                                            202 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\app\crm\page.js                                            219 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\app\crm\page.js                                            220 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\app\crm\page.js                                            258 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\app\crm\page.js                                            263 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\app\crm\page.js                                            276 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\app\crm\page.js                                            284 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\app\crm\page.js                                            292 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\app\crm\page.js                                            306 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\app\crm\page.js                                            331 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\app\crm\page.js                                            341 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\app\crm\page.js                                            347 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\app\crm\page.js                                            353 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\app\crm\page.js                                            362 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\app\crm\page.js                                            369 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\app\crm\page.js                                            377 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\app\crm\page.js                                            407 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\app\crm\page.js                                            419 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\app\crm\page.js                                            433 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\app\crm\page.js                                            443 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\app\crm\page.js                                            447 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\app\crm\page.js                                            453 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\app\crm\page.js                                            474 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\app\crm\page.js                                            540 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\apps_script\09_Supabase_Agenda_Lembretes.gs                349 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\apps_script\09_Supabase_Agenda_Lembretes.gs                350 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\apps_script\09_Supabase_Agenda_Lembretes.gs                351 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\apps_script\09_Supabase_Agenda_Lembretes.gs                352 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\apps_script\09_Supabase_Agenda_Lembretes.gs                355 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\apps_script\09_Supabase_Agenda_Lembretes.gs                360 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\apps_script\09_Supabase_Agenda_Lembretes.gs                361 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\apps_script\09_Supabase_Agenda_Lembretes.gs                362 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\apps_script\09_Supabase_Agenda_Lembretes.gs                363 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\apps_script\09_Supabase_Agenda_Lembretes.gs                373 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\apps_script\09_Supabase_Agenda_Lembretes.gs                378 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\apps_script\09_Supabase_Agenda_Lembretes.gs                380 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\apps_script\09_Supabase_Agenda_Lembretes.gs                384 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\apps_script\11_Supabase_Outbox_Processador_Direto_V22.gs   173 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\apps_script\11_Supabase_Outbox_Processador_Direto_V22.gs   175 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\apps_script\11_Supabase_Outbox_Processador_Direto_V22.gs   179 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\apps_script\11_Supabase_Outbox_Processador_Direto_V22.gs   200 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\apps_script\11_Supabase_Outbox_Processador_Direto_V22.gs   202 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\apps_script\11_Supabase_Outbox_Processador_Direto_V22.gs   204 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\apps_script\11_Supabase_Outbox_Processador_Direto_V22.gs   207 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\apps_script\11_Supabase_Outbox_Processador_Direto_V22.gs   208 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\apps_script\11_Supabase_Outbox_Processador_Direto_V22.gs   216 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\apps_script\11_Supabase_Outbox_Processador_Direto_V22.gs   219 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\apps_script\11_Supabase_Outbox_Processador_Direto_V22.gs   222 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\apps_script\11_Supabase_Outbox_Processador_Direto_V22.gs   225 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\apps_script\11_Supabase_Outbox_Processador_Direto_V22.gs   226 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\apps_script\11_Supabase_Outbox_Processador_Direto_V22.gs   241 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\apps_script\11_Supabase_Outbox_Processador_Direto_V22.gs   246 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\apps_script\11_Supabase_Outbox_Processador_Direto_V22.gs   252 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\apps_script\11_Supabase_Outbox_Processador_Direto_V22.gs   253 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\apps_script\11_Supabase_Outbox_Processador_Direto_V22.gs   262 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\apps_script\11_Supabase_Outbox_Processador_Direto_V22.gs   263 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\apps_script\11_Supabase_Outbox_Processador_Direto_V22.gs   265 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\apps_script\11_Supabase_Outbox_Processador_Direto_V22.gs   266 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\apps_script\11_Supabase_Outbox_Processador_Direto_V22.gs   272 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\apps_script\11_Supabase_Outbox_Processador_Direto_V22.gs   275 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\apps_script\11_Supabase_Outbox_Processador_Direto_V22.gs   276 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\apps_script\11_Supabase_Outbox_Processador_Direto_V22.gs   278 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\apps_script\11_Supabase_Outbox_Processador_Direto_V22.gs   279 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\apps_script\11_Supabase_Outbox_Processador_Direto_V22.gs   300 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\apps_script\11_Supabase_Outbox_Processador_Direto_V22.gs   409 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\lib\crmAuth.js                                               7 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\lib\crmAuth.js                                               8 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\lib\crmAuth.js                                               9 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\lib\crmAuth.js                                              10 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\setup\MINHAS_CONFIGURACOES.ini.exemplo                       7 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\setup\MINHAS_CONFIGURACOES.ini.exemplo                      10 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\setup\MINHAS_CONFIGURACOES.ini.exemplo                      13 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\setup\MINHAS_CONFIGURACOES.ini.exemplo                      14 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\setup\MINHAS_CONFIGURACOES.ini.exemplo                      18 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\setup\MINHAS_CONFIGURACOES.ini.exemplo                      20 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\setup\MINHAS_CONFIGURACOES.ini.exemplo                      22 TOKEN
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\setup\scripts\CONFIGURAR_TUDO.ps1                           44 TOKEN
